attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
idlg,2.0,14,0.0,2.6244600803693174e-07,3.135148048400879,61606704.0,-85.2558154064125,-0.09858310967683792
inverting_gradients,2.0,14,1.0,0.37411120533943176,0.0003943337360396981,0.1339290738105774,1.3717156825478651,0.6816467046737671
dlg,2.0,15,0.9912840127944946,0.36075031757354736,0.2422059327363968,1.3282614946365356,-8.65311293944381,0.2883961796760559
idlg,2.0,15,0.9589710831642151,0.34404256939888,0.254785418510437,5.944101810455322,-15.161139504104685,0.16715209186077118
inverting_gradients,2.0,15,0.9954293966293335,0.36831408739089966,0.027616403996944427,0.8769580125808716,-6.850065115100787,0.34833139181137085
dlg,2.0,16,0.0,0.0,0.8769389390945435,4.190496050620802e+23,-243.55213493276824,0.05876140296459198
idlg,2.0,16,0.9937286972999573,0.36308708786964417,0.07374631613492966,0.8081596493721008,-6.404452203361764,0.304184228181839
inverting_gradients,2.0,16,0.9989370703697205,0.37205901741981506,0.017428038641810417,0.3736834228038788,-3.054518898677541,0.46935203671455383
dlg,2.0,17,0.9939413070678711,0.3183668553829193,0.08864544332027435,0.33620685338974,-2.6863427305234606,0.4881252646446228
idlg,2.0,17,0.9988307356834412,0.3178083896636963,0.1845117062330246,0.21736183762550354,-0.7921100805502763,0.5141229033470154
inverting_gradients,2.0,17,0.9948979616165161,0.31968310475349426,0.01126783899962902,0.26514169573783875,-1.6550574053185412,0.5269390344619751
dlg,2.0,18,0.9959608912467957,0.3651156425476074,0.03438153117895126,1.053223729133606,-7.6454834620732814,0.233449324965477
idlg,2.0,18,0.9924532175064087,0.36546754837036133,0.06299896538257599,1.1282460689544678,-7.944315400290758,0.19135186076164246
inverting_gradients,2.0,18,0.9988307356834412,0.368698388338089,0.007119262591004372,0.6500079035758972,-5.549463483554504,0.25906696915626526
dlg,2.0,19,0.9956420063972473,0.34583964943885803,0.05772212892770767,0.6974809765815735,-5.825123863831334,0.36280250549316406
idlg,2.0,19,0.9910714030265808,0.3430556058883667,0.08888117223978043,1.094197154045105,-7.7807560028790395,0.29395684599876404
inverting_gradients,2.0,19,0.9998936653137207,0.35000211000442505,0.006341517437249422,0.3562515377998352,-2.9073676712592604,0.4802587926387787
dlg,4.0,0,0.0,0.0,1.00386643409729,8490610851840.0,-136.61886994011377,-0.017732510343194008
idlg,4.0,0,0.9888392686843872,0.4524790346622467,0.03525910526514053,0.0994793251156807,2.69319112127513,0.7410590648651123
inverting_gradients,4.0,0,0.9909651279449463,0.4485243558883667,0.007750341668725014,0.0818970650434494,3.5378360424193707,0.7685273885726929
dlg,4.0,1,0.9907525181770325,0.542418897151947,0.03623693808913231,0.2938939034938812,-2.0113863479492844,0.6414195895195007
idlg,4.0,1,0.9892644286155701,0.5419631004333496,0.03353578597307205,0.31412243843078613,-2.3004701767155438,0.6249157190322876
inverting_gradients,4.0,1,0.991815447807312,0.542630672454834,0.0032658542040735483,0.2425638735294342,-1.1777417689487986,0.6343355774879456
dlg,4.0,2,0.0,0.0,0.7543343305587769,4.365728961652966e+20,-213.85153711040945,0.10387352108955383
idlg,4.0,2,0.9719387292861938,0.4349353313446045,0.08256837725639343,0.6357998847961426,-5.484173861011055,0.4512367844581604
inverting_gradients,4.0,2,0.9807610511779785,0.4351615011692047,0.02347668819129467,0.3912641704082489,-3.3756702089009383,0.5550458431243896
dlg,4.0,3,0.9755526781082153,0.4432021677494049,0.13292095065116882,0.1752726286649704,0.14258188916711498,0.6012662053108215
idlg,4.0,3,0.9730016589164734,0.4416691064834595,0.11872754245996475,0.20004381239414215,-0.43152833657245715,0.6061300039291382
inverting_gradients,4.0,3,0.9776785373687744,0.4434044659137726,0.02042350359261036,0.12197751551866531,1.7169250574523875,0.6792985200881958
dlg,4.0,4,0.0,0.0,1.4916503429412842,175290215038976.0,-149.73720879284497,0.0016897465102374554
idlg,4.0,4,0.0,0.0,8.191638946533203,283888781885440.0,-151.83111436816284,0.03691673278808594
